row_number,visitor_id,search_timestamp,category,pro_user_id,num_reviews,avg_rating,pro_last_active_time_before_search,cost_estimate_dollars,result_position,service_page_viewed,contact_id,hired
770,344112898609971000,2018-11-26 18:54:59.662 UTC,House Cleaning,165781621571519000,596,4.47,2018-11-26 15:43:22.357 UTC,60.0,1,True,344113050599645000,False
5967,344136056029675000,2018-11-27 01:20:56.943 UTC,House Cleaning,165781621571519000,596,4.47,2018-11-26 23:25:40.114 UTC,60.0,1,True,344136116564541000,False
23765,344277033851363000,2018-11-28 16:30:34.575 UTC,House Cleaning,165781621571519000,596,4.47,2018-11-27 21:25:46.899 UTC,60.0,1,True,344277286404636000,False
7251,340661218862792000,2018-10-17 20:06:59.795 UTC,Local Moving (under 50 miles),289611193873760000,85,4.74,2018-10-17 18:19:25.882 UTC,99.0,1,True,340661363928834000,False
9050,344448387967090000,2018-11-30 16:06:28.539 UTC,Local Moving (under 50 miles),266788649003771000,597,4.59,2018-11-30 03:54:22.083 UTC,89.0,1,True,344448659801784000,False
16996,341766187100037000,2018-10-30 15:03:08.064 UTC,House Cleaning,236568971968832000,86,4.33,2018-10-29 21:13:54.974 UTC,50.0,3,True,341766599833116000,False
11308,343936736482058000,2018-11-24 17:58:57.117 UTC,Local Moving (under 50 miles),220852398924866000,86,4.41,2018-11-24 15:24:55.172 UTC,99.0,2,True,343937077482610000,True
21890,342944607700902000,2018-11-13 06:23:28.354 UTC,Local Moving (under 50 miles),317366262509559000,87,4.21,2018-11-13 01:02:35.288 UTC,0.0,8,True,342945072645931000,True
25998,342986141633060000,2018-11-13 17:55:42.148 UTC,Local Moving (under 50 miles),317366262509559000,87,4.21,2018-11-13 16:19:02.463 UTC,0.0,2,True,342986458555424000,False
13431,343101806320468000,2018-11-15 02:03:27.015 UTC,House Cleaning,290828144197026000,87,4.61,2018-11-15 00:41:11.601 UTC,90.0,1,True,343102195512762000,True
14336,342205809899741000,2018-11-04 17:10:10.662 UTC,House Cleaning,286829354141525000,88,4.83,2018-11-02 02:19:01.819 UTC,90.0,1,True,342205919351365000,False
17160,339324972222210000,2018-10-02 08:56:12.844 UTC,House Cleaning,233279399251059000,88,4.73,2018-10-01 19:21:38.882 UTC,127.0,1,True,339325679520268000,False
8002,340379361540571000,2018-10-14 13:49:22.085 UTC,House Cleaning,296862143145926000,88,4.36,2018-10-14 01:32:01.945 UTC,147.0,1,True,340379583455445000,False
25586,339910004234067000,2018-10-09 03:26:44.974 UTC,House Cleaning,296862143145926000,88,4.36,2018-10-08 21:30:46.264 UTC,142.0,3,True,339910166410895000,True
23817,342241412717125000,2018-11-05 03:03:33.776 UTC,House Cleaning,324565082239230000,88,4.53,2018-10-27 14:41:12.174 UTC,100.0,1,True,342241463679238000,False
